sample_identifier;collection_id;sample_type_id;sample_status_id;country_code;country_origin_code;referent_id;sampling_date;sample_multiple_value;sample_parent_identifier;container_parent_identifier;md_taxon;md_longueur;md_riviere;md_num_individu;uuid
T94739-MON;1;2;1;FR;FR;1;07/09/1999;;T94739;BOITE;TRF;108;Dranse;IL405;8955c6a1-c000-573b-96c1-640085ca8b99
T94740-MON;1;2;1;FR;FR;1;07/09/1999;;T94740;BOITE;TRF;122;Dranse;IL408;8e17655f-033c-56be-800d-224994381aba
T94741-MON;1;2;1;FR;FR;1;07/09/1999;;T94741;BOITE;TRF;147;Dranse;IL370;156f005c-f22f-5394-a7a5-8b68c357a2d0
T94742-MON;1;2;1;FR;FR;1;07/09/1999;;T94742;BOITE;TRF;151;Dranse;IL371;90cc02e0-d61f-52ef-b6ce-e8aebb16bffc
T94743-MON;1;2;1;FR;FR;1;07/09/1999;;T94743;BOITE;TRF;159;Dranse;IL373;abf6046d-11f4-57c1-8e11-e3d0a69802ca
T94744-MON;1;2;1;FR;FR;1;07/09/1999;;T94744;BOITE;TRF;169;Dranse;IL367;9bf09263-1111-51fd-aacb-50ff96e69b99
T94745-MON;1;2;1;FR;FR;1;07/09/1999;;T94745;BOITE;TRF;142;Dranse;IL368;39883551-b9c9-56bc-8678-0c2c6bc63125
T94746-MON;1;2;1;FR;FR;1;07/09/1999;;T94746;BOITE;TRF;125;Dranse;IL369;cf066d3e-5c26-5556-964a-4a2183fba5c2
T94747-MON;1;2;1;FR;FR;1;07/09/1999;;T94747;BOITE;TRF;166;Dranse;IL362;1d73cb72-59f4-5634-bfb5-3df6063d7239
T94748-MON;1;2;1;FR;FR;1;07/09/1999;;T94748;BOITE;TRF;341;Dranse;IL418;bbbdaaf9-b448-5153-accc-eff05562dc65
T94749-MON;1;2;1;FR;FR;1;07/09/1999;;T94749;BOITE;TRF;328;Dranse;IL419;50bd3fba-ed47-5885-891c-beb983fe7186
T94750-MON;1;2;1;FR;FR;1;07/09/1999;;T94750;BOITE;TRF;292;Dranse;IL420;b9f81d5d-8b71-556d-bd45-2cabe6027247
T94751-MON;1;2;1;FR;FR;1;07/09/1999;;T94751;BOITE;TRF;261;Dranse;IL421;9edd3ea3-86e6-5665-ad99-9364a166eabd
T94752-MON;1;2;1;FR;FR;1;07/09/1999;;T94752;BOITE;TRF;225;Dranse;IL422;429b46ae-8db5-5cbe-af7b-771bbeafffb0
T94753-MON;1;2;1;FR;FR;1;07/09/1999;;T94753;BOITE;TRF;178;Dranse;IL329;bd093d23-f833-501b-9d70-242087129810
T94754-MON;1;2;1;FR;FR;1;07/09/1999;;T94754;BOITE;TRF;146;Dranse;IL335;b0c2a12a-d82b-5805-94bd-bdb7c855fc6a
T94755-MON;1;2;1;FR;FR;1;07/09/1999;;T94755;BOITE;TRF;193;Dranse;IL336;14f1f53a-cc74-591d-830f-c8d401c1d481
T94756-MON;1;2;1;FR;FR;1;07/09/1999;;T94756;BOITE;TRF;130;Dranse;IL337;98642eb3-ebbc-5771-a4b2-4b8aba5a2bf0
T94757-MON;1;2;1;FR;FR;1;07/09/1999;;T94757;BOITE;TRF;132;Dranse;IL338;ebd14468-f0f9-5391-a4d9-2c4bccd9efdb
T94758-MON;1;2;1;FR;FR;1;07/09/1999;;T94758;BOITE;TRF;124;Dranse;IL339;8f72b267-1377-50fc-9a59-6deb0d1cd540
T94759-MON;1;2;1;FR;FR;1;07/09/1999;;T94759;BOITE;TRF;111;Dranse;IL340;8dffefaf-74f5-59e5-bf18-49ce7fd14e32
T94760-MON;1;2;1;FR;FR;1;07/09/1999;;T94760;BOITE;TRF;198;Dranse;IL349;b5ed25ad-673b-5049-9e6d-78d2c56c0a4f
T94761-MON;1;2;1;FR;FR;1;07/09/1999;;T94761;BOITE;TRF;169;Dranse;IL350;d66326e3-9f0c-59c2-af04-148ef1a6198b
T94762-MON;1;2;1;FR;FR;1;07/09/1999;;T94762;BOITE;TRF;226;Dranse;IL351;3ce6320a-fdf9-5561-8c24-124a12a475a9
T94763-MON;1;2;1;FR;FR;1;07/09/1999;;T94763;BOITE;TRF;165;Dranse;IL352;17ea9b2b-6462-581d-bc24-e6dbf9a9aba4
T94764-MON;1;2;1;FR;FR;1;07/09/1999;;T94764;BOITE;TRF;253;Dranse;IL353;5f490bc9-f828-50b3-96ec-c560f8777701
T94765-MON;1;2;1;FR;FR;1;07/09/1999;;T94765;BOITE;TRF;235;Dranse;IL354;b0bcf5f0-5433-55cf-8cf0-f6edd096f2c1
T94766-MON;1;2;1;FR;FR;1;07/09/1999;;T94766;BOITE;TRF;170;Dranse;IL355;21f00223-5781-5722-939c-85ac25e3537f
T94767-MON;1;2;1;FR;FR;1;07/09/1999;;T94767;BOITE;TRF;165;Dranse;IL356;d2d10366-1097-5e0c-9e96-e286233637bb
T94768-MON;1;2;1;FR;FR;1;07/09/1999;;T94768;BOITE;TRF;140;Dranse;IL357;c7ee6d19-8437-57ab-b6ae-2ddaa90a91b1
T94769-MON;1;2;1;FR;FR;1;07/09/1999;;T94769;BOITE;TRF;241;Dranse;IL358;819a5c1d-d60b-59da-8aca-898d7fb495fa
T94770-MON;1;2;1;FR;FR;1;07/09/1999;;T94770;BOITE;TRF;182;Dranse;IL359;7a2f51d7-49eb-5608-adfb-9c5abb4981fb
T94771-MON;1;2;1;FR;FR;1;07/09/1999;;T94771;BOITE;TRF;144;Dranse;IL360;7332e8e6-12d7-50de-b70b-016279a23b76
T94772-MON;1;2;1;FR;FR;1;07/09/1999;;T94772;BOITE;TRF;151;Dranse;IL361;e24d3ddf-e9f4-58c9-9e78-37ce4de2f848
T94773-MON;1;2;1;FR;FR;1;07/09/1999;;T94773;BOITE;TRF;152;Dranse;IL363;5651e632-27a1-5771-9726-9483a1f43289
T94774-MON;1;2;1;FR;FR;1;07/09/1999;;T94774;BOITE;TRF;171;Dranse;IL364;7044ff73-2942-5a58-b615-a899cb26432a
T94775-MON;1;2;1;FR;FR;1;07/09/1999;;T94775;BOITE;TRF;133;Dranse;IL365;90e74a4d-93cd-51e1-acc5-afcf4036ce66
T94776-MON;1;2;1;FR;FR;1;07/09/1999;;T94776;BOITE;TRF;131;Dranse;IL366;cff39555-b6c8-51d4-af26-cab94d741485
T94973-MON;1;2;1;FR;FR;1;06/09/1999;;T94973;BOITE;TRF;187;Dranse;IL140;ee1ebbb3-5889-5cd9-9566-df5f0cf26f1a
T94974-MON;1;2;1;FR;FR;1;06/09/1999;;T94974;BOITE;TRF;127;Dranse;IL147;935bb407-4215-59b6-aff8-f14e2447c9fa
T94975-MON;1;2;1;FR;FR;1;06/09/1999;;T94975;BOITE;TRF;177;Dranse;IL155;d5af3890-4456-597f-89d1-9e95f11ceb95
T94976-MON;1;2;1;FR;FR;1;06/09/1999;;T94976;BOITE;TRF;146;Dranse;IL156;5d292da7-aa86-5514-8bcb-7ea88df22f0b
T94977-MON;1;2;1;FR;FR;1;06/09/1999;;T94977;BOITE;TRF;167;Dranse;IL157;47e4b7de-56d0-58d2-a9ea-783f9602cf9d
T94978-MON;1;2;1;FR;FR;1;06/09/1999;;T94978;BOITE;TRF;167;Dranse;IL158;cfa67518-7e67-5698-a8bf-ed97fc303a62
T94979-MON;1;2;1;FR;FR;1;06/09/1999;;T94979;BOITE;TRF;127;Dranse;IL159;fc570dc4-5c00-5be0-8a88-1b801886fe9c
T94980-MON;1;2;1;FR;FR;1;06/09/1999;;T94980;BOITE;TRF;126;Dranse;IL160;57dff6a5-20b7-53d6-9b4a-854843c0e65d
T94981-MON;1;2;1;FR;FR;1;06/09/1999;;T94981;BOITE;TRF;117;Dranse;IL161;aecab433-de9f-54d5-93f9-492e36656da8
T94982-MON;1;2;1;FR;FR;1;06/09/1999;;T94982;BOITE;TRF;142;Dranse;IL162;a9a2700c-20e9-561a-8173-69d3fd336575
T94983-MON;1;2;1;FR;FR;1;06/09/1999;;T94983;BOITE;TRF;115;Dranse;IL164;875bb7fc-a207-522e-ab2b-d2561a0bde1c
T94984-MON;1;2;1;FR;FR;1;06/09/1999;;T94984;BOITE;TRF;123;Dranse;IL165;bf2c557f-e126-5712-9d8a-fc02c838e1e7
